Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
-1.678233022838179,509,0,-4.5690703057308895,8,53,4.573922764202711,0.22430223056428933,-0.2514916119598419,0.010271250414187317,2.4261126815383096
-1.6185466008623972,5958,0,-4.5690703057308895,8,53,2.810639667801384,0.04620290929948124,-0.2514916119598419,-0.09578300425124403,1.4293159944650042
-1.3633141040918344,4734,0,-4.5690703057308895,3,21,0.9861314638861217,-0.15168522543919444,-0.2514916119598419,-0.20183725891667534,0.39393362918240954
-1.3209492661160174,2013,0,-4.5690703057308895,3,53,0.8881712918638257,-0.19126285238692958,-0.2514916119598419,-0.20183725891667534,0.32962416550026086
-1.1748636179235448,1000,0,-4.5690703057308895,2,21,0.557555711288577,-0.21105166586079713,-0.2514916119598419,-0.20183725891667534,0.14955766719024438
-0.8918748479964123,4276,0,-4.5690703057308895,10,21,0.23918515221611514,-0.23084047933466473,-0.2514916119598419,-0.20183725891667534,-0.030508831119772106
-0.6120164848162611,3321,0,-4.5690703057308895,0,21,0.06775485117709719,-0.2506292928085323,-0.2514916119598419,-0.254864386249391,-0.1269730266429952
-0.41354869705763053,1047,0,-4.5690703057308895,3,21,-0.017960299342411775,-0.2506292928085323,-0.2514916119598419,-0.254864386249391,-0.1719896512204993
-0.29271499662414247,1391,0,-4.5690703057308895,3,53,-0.054695363850772755,-0.2704181062823998,-0.2514916119598419,-0.254864386249391,-0.19128249032514397
-1.6821982047176889,7278,0,-4.3961051692071385,4,21,4.831068215761238,0.18472460361655416,-0.2514916119598419,0.010271250414187317,2.5483006625343925
-1.5786860882841656,3329,0,-4.3961051692071385,0,391,2.198388592662034,-0.052741158069856624,-0.2514916119598419,-0.14881013158395967,1.0691829978449716
-1.5720078872239382,2025,0,-4.3961051692071385,8,237,2.1126734421425253,-0.052741158069856624,-0.2514916119598419,-0.14881013158395967,1.0241663732674673
-1.551555896476992,2665,0,-4.3961051692071385,0,53,1.9289981196007202,-0.07252997154372419,-0.2514916119598419,-0.14881013158395967,0.9212712313760292
-1.501052000959023,6187,0,-4.3961051692071385,5,53,1.5616474745171105,-0.09231878501759173,-0.2514916119598419,-0.14881013158395967,0.7154809475931533
-1.491243393151814,7957,0,-4.3961051692071385,8,21,1.5004223670031753,-0.11210759849145932,-0.2514916119598419,-0.14881013158395967,0.6833262157520791
-1.4593132443326022,2318,0,-4.3961051692071385,4,94,1.3412370874669446,-0.13189641196532687,-0.2514916119598419,-0.14881013158395967,0.5932929665970706
-1.4336439090073534,1348,0,-4.3961051692071385,8,53,1.2187868724390745,-0.13189641196532687,-0.2514916119598419,-0.20183725891667534,0.528983502914922
-1.4071397985495762,539,0,-4.3961051692071385,8,237,1.1208267004167785,-0.13189641196532687,-0.2514916119598419,-0.20183725891667534,0.47110498560098807
-1.346201213875002,5772,0,-4.3961051692071385,8,21,0.9371513778749737,-0.171474038913062,-0.2514916119598419,-0.20183725891667534,0.3617788973413353
-1.3217840412485458,1639,0,-4.3961051692071385,8,237,0.8881712918638257,-0.19126285238692958,-0.2514916119598419,-0.20183725891667534,0.32962416550026086
-1.2846365478510313,2333,0,-4.3961051692071385,4,53,0.777966098338743,-0.19126285238692958,-0.2514916119598419,-0.20183725891667534,0.27817659455454186
-1.266062801152274,8952,0,-4.3961051692071385,0,391,0.7412310338303819,-0.19126285238692958,-0.2514916119598419,-0.20183725891667534,0.2524528090816824
-1.2067937667427566,1754,0,-4.3961051692071385,0,341,0.606535797299725,-0.19126285238692958,-0.2514916119598419,-0.20183725891667534,0.18171239903131872
-1.1900982640921884,255,0,-4.3961051692071385,0,2,0.582045754294151,-0.21105166586079713,-0.2514916119598419,-0.20183725891667534,0.16241955992667415
-1.1759070868392054,223,0,-4.3961051692071385,0,314,0.557555711288577,-0.21105166586079713,-0.2514916119598419,-0.20183725891667534,0.14955766719024438
-1.1462725696344467,774,0,-4.3961051692071385,8,53,0.508575625277429,-0.21105166586079713,-0.2514916119598419,-0.20183725891667534,0.12383388171738487
-1.1183076026947447,4930,0,-4.3961051692071385,0,507,0.471840560769068,-0.21105166586079713,-0.2514916119598419,-0.20183725891667534,0.09811009624452535
-1.096603449249006,179,0,-4.3961051692071385,0,305,0.447350517763494,-0.23084047933466473,-0.2514916119598419,-0.20183725891667534,0.08524820350809566
